TFBGA240_ball,TFBGA240_note,pin_name,pin_type,io_structure,notes,alternate_functions,additional_functions,LQFP100,TFBGA100,LQFP144,UFBGA169,UFBGA176+25,LQFP176,LQFP208,TFBGA240+25_raw,ds_page
R17,,PD13,I/O,FT_fh,-,"LPTIM1_OUT, TIM4_CH2, I2C4_SDA, QUADSPI_BK1_IO3, SAI2_SCK_A, FMC_A18, EVENTOUT",-,60,J10,82,J11,M15,101,113,R17,76
-,,VSS,S,-,-,-,-,-,-,83,-,K8,102,114,-,76
N11,,VDD,S,-,-,-,-,-,-,84,-,J13,103,115,N11,76
P16,,PD14,I/O,FT_h,-,"TIM4_CH3, SAI3_MCLK_B, UART8_CTS, FMC_D0/FMC_DA0, EVENTOUT",-,61,H8,85,J13,M14,104,116,P16,76
P15,,PD15,I/O,FT_h,-,"TIM4_CH4, SAI3_MCLK_A, UART8_RTS/UART8_DE , FMC_D1/FMC_DA1, EVENTOUT",-,62,G8,86,J12,L14,105,117,P15,76
N15,,PJ6,I/O,FT,-,"TIM8_CH2, LCD_R7, EVENTOUT",-,-,-,-,-,-,-,118,N15,76
N14,,PJ7,I/O,FT,-,"TRGIN, TIM8_CH2N, LCD_G0, EVENTOUT",-,-,-,-,-,-,-,119,N14,76
N10,,VDD,S,-,-,-,-,-,-,-,-,-,-,-,N10,76
R8,,VSS,S,-,-,-,-,-,-,-,-,F10,-,-,R8,76
N13,,PJ8,I/O,FT,-,"TIM1_CH3N, TIM8_CH1, UART8_TX, LCD_G1, EVENTOUT",-,-,-,-,-,-,-,120,N13,77
M14,,PJ9,I/O,FT,-,"TIM1_CH3, TIM8_CH1N, UART8_RX, LCD_G2, EVENTOUT",-,-,-,-,-,-,-,121,M14,77
L14,,PJ10,I/O,FT,-,"TIM1_CH2N, TIM8_CH2, SPI5_MOSI, LCD_G3, EVENTOUT",-,-,-,-,-,-,-,122,L14,77
K14,,PJ11,I/O,FT,-,"TIM1_CH2, TIM8_CH2N, SPI5_MISO, LCD_G4, EVENTOUT",-,-,-,-,-,-,-,123,K14,77
N8,,VDD,S,-,-,-,-,-,-,-,-,-,-,124,N8,77
U1,,VSS,S,-,-,-,-,-,-,-,-,G6,-,125,U1,77
N17,2,NC,-,-,-,-,-,-,-,-,-,-,-,-,N17(2 ),77
M16,2,NC,-,-,-,-,-,-,-,-,-,-,-,-,M16(2 ),77
M17,2,NC,-,-,-,-,-,-,-,-,-,-,-,-,M17(2 ),77
K15,,VSS,S,-,-,-,-,-,-,-,-,-,-,-,K15,77
L16,2,NC,-,-,-,-,-,-,-,-,-,-,-,-,L16(2),77
L17,2,NC,-,-,-,-,-,-,-,-,-,-,-,-,L17(2),77
K16,2,NC,-,-,-,-,-,-,-,-,-,-,-,-,K16(2 ),77
K17,2,NC,-,-,-,-,-,-,-,-,-,-,-,-,K17(2 ),77
L15,,VSS,S,-,-,-,-,-,-,-,-,-,-,-,L15,77
J14,,PK0,I/O,FT,-,"TIM1_CH1N, TIM8_CH3, SPI5_SCK, LCD_G5, EVENTOUT",-,-,-,-,-,-,-,126,J14,77
J15,,PK1,I/O,FT,-,"TIM1_CH1, TIM8_CH3N, SPI5_NSS, LCD_G6, EVENTOUT",-,-,-,-,-,-,-,127,J15,77
H17,,PK2,I/O,FT,-,"TIM1_BKIN, TIM8_BKIN, TIM8_BKIN_COMP12, TIM1_BKIN_COMP12, LCD_G7, EVENTOUT",-,-,-,-,-,-,-,128,H17,77
H16,,PG2,I/O,FT_h,-,"TIM8_BKIN, TIM8_BKIN_COMP12, FMC_A12, EVENTOUT",-,-,-,87,H9,L15,106,129,H16,78
H15,,PG3,I/O,FT_h,-,"TIM8_BKIN2, TIM8_BKIN2_COMP12, FMC_A13, EVENTOUT",-,-,-,88,H10,K15,107,130,H15,78
-,,VSS,S,-,-,-,-,-,-,-,-,G7,-,-,-,78
N7,,VDD,S,-,-,-,-,-,-,-,-,-,-,-,N7,78
H14,,PG4,I/O,FT_h,-,"TIM1_BKIN2, TIM1_BKIN2_COMP12, FMC_A14/FMC_BA0, EVENTOUT",-,-,-,89,F8,K14,108,131,H14,78
G14,,PG5,I/O,FT_h,-,"TIM1_ETR, FMC_A15/FMC_BA1, EVENTOUT",-,-,-,90,H11,K13,109,132,G14,78
G15,,PG6,I/O,FT_h,-,"TIM17_BKIN, HRTIM_CHE1, QUADSPI_BK1_NCS, FMC_NE3, DCMI_D12, LCD_R7, EVENTOUT",-,-,-,91,G9,J15,110,133,G15,78
F16,,PG7,I/O,FT_h,-,"HRTIM_CHE2, SAI1_MCLK_A, USART6_CK, FMC_INT, DCMI_D13, LCD_CLK, EVENTOUT",-,-,-,92,G10,J14,111,134,F16,78
F15,,PG8,I/O,FT_h,-,"TIM8_ETR, SPI6_NSS, USART6_RTS/USART6_ DE, SPDIFRX1_IN3, ETH_PPS_OUT, FMC_SDCLK, LCD_G7, EVENTOUT",-,-,-,93,G11,H14,112,135,F15,78
G16,,VSS,S,-,-,-,-,-,-,94,-,G12,113,136,G16,78
