pin,TFBGA240_ball,TFBGA240_note,io_structure,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,additional_functions,ds_page
PB14,U15,,FT_u,,TIM1_CH2N,TIM12_CH1,TIM8_CH2N,USART1_TX,SPI2_MISO/I2S2_SDI,DFSDM1_DATIN2,USART3_RTS/USART3_DE,UART4_RTS/UART4_DE,SDMMC2_D0,,,OTG_HS_DM,,,EVENTOUT,-,91
PB15,T15,,FT_u,RTC_REFIN,TIM1_CH3N,TIM12_CH2,TIM8_CH3N,USART1_RX,SPI2_MOSI/I2S2_SDO,DFSDM1_CKIN2,,UART4_CTS,SDMMC2_D1,,,OTG_HS_DP,,,EVENTOUT,-,91
PC0,L2,,FT_a,,,,DFSDM1_CKIN0,,,DFSDM1_DATIN4,,SAI2_FS_B,,OTG_HS_ULPI_STP,,FMC_SDNWE,,LCD_R5,EVENTOUT,ADC123_INP10,91
PC1,M2,,FT_h a,TRACED0,,SAI1_D1,DFSDM1_DATIN0,DFSDM1_CKIN4,SPI2_MOSI/I2S2_SDO,SAI1_SD_A,,SAI4_SD_A,SDMMC2_CK,SAI4_D1,ETH_MDC,MDIOS_MDC,,,EVENTOUT,"ADC123_INN10 , ADC123_INP11, RTC_TAMP3/W KUP6",91
PC2,M3,3,FT_a,C1DSLEEP,,,DFSDM1_CKIN1,,SPI2_MISO/I2S2_SDI,DFSDM1_CKOUT,,,,OTG_HS_ULPI_DIR,ETH_MII_TXD2,FMC_SDNE0,,,EVENTOUT,"ADC123_INN11 , ADC123_INP12",91
PC3,M4,3,FT_a,C1SLEEP,,,DFSDM1_DATIN1,,SPI2_MOSI/I2S2_SDO,,,,,OTG_HS_ULPI_NXT,ETH_MII_TX_CLK,FMC_SDCKE0,,,EVENTOUT,"ADC12_INN12, ADC12_INP13",91
PC4,T4,,TT_a,C2DSLEEP,,,DFSDM1_CKIN2,,I2S1_MCK,,,,SPDIFRX1_IN3,,ETH_MII_RXD0/ETH_RMII_RXD0,FMC_SDNE0,,,EVENTOUT,"ADC12_INP4, OPAMP1_VOU T, COMP1_INM",91
PC5,U4,,TT_a,C2SLEEP,,SAI1_D3,DFSDM1_DATIN2,,,,,,SPDIFRX1_IN4,SAI4_D3,ETH_MII_RXD1/ETH_RMII_RXD1,FMC_SDCKE0,COMP1_OUT,,EVENTOUT,"ADC12_INN4, ADC12_INP8, OPAMP1_VINM",91
PC6,F14,,FT_h,,HRTIM_CHA1,TIM3_CH1,TIM8_CH1,DFSDM1_CKIN3,I2S2_MCK,,USART6_TX,SDMMC1_D0DIR,FMC_NWAIT,SDMMC2_D6,,SDMMC1_D6,DCMI_D0,LCD_HSYNC,EVENTOUT,SWPMI_IO,92
PC7,F13,,FT_h,TRGIO,HRTIM_CHA2,TIM3_CH2,TIM8_CH2,DFSDM1_DATIN3,,I2S3_MCK,USART6_RX,SDMMC1_D123DIR,FMC_NE1,SDMMC2_D7,SWPMI_TX,SDMMC1_D7,DCMI_D1,LCD_G6,EVENTOUT,-,92
PC8,E13,,FT_h,TRACED1,HRTIM_CHB1,TIM3_CH3,TIM8_CH3,,,,USART6_CK,UART5_RTS/UART5_DE,FMC_NE2/FMC_NCE,,SWPMI_RX,SDMMC1_D0,DCMI_D2,,EVENTOUT,-,92
PC9,E14,,FT_fh,MCO2,,TIM3_CH4,TIM8_CH4,I2C3_SDA,I2S_CKIN,,,UART5_CTS,QUADSPI_BK1_IO0,LCD_G3,SWPMI_SUSPEND,SDMMC1_D1,DCMI_D3,LCD_B2,EVENTOUT,-,92
PC10,A13,,FT_h a,,,HRTIM_EEV1,DFSDM1_CKIN5,,,SPI3_SCK/I2S3_CK,USART3_TX,UART4_TX,QUADSPI_BK1_IO1,,,SDMMC1_D2,DCMI_D8,LCD_R2,EVENTOUT,-,92
PC11,B13,,FT_h,,,HRTIM_FLT2,DFSDM1_DATIN5,,,SPI3_MISO/I2S3_SDI,USART3_RX,UART4_RX,QUADSPI_BK2_NCS,,,SDMMC1_D3,DCMI_D4,,EVENTOUT,-,92
PC12,C12,,FT_h,TRACED3,,HRTIM_EEV2,,,,SPI3_MOSI/I2S3_SDO,USART3_CK,UART5_TX,,,,SDMMC1_CK,DCMI_D9,,EVENTOUT,-,92
PC13,E3,,FT,,,,,,,,,,,,,,,,EVENTOUT,RTC_OUT/RTC _TAMP1/RTC_T S/WKUP4,92
PC14,C2,,FT,,,,,,,,,,,,,,,,EVENTOUT,OSC32_IN,92
PC15,C1,,FT,,,,,,,,,,,,,,,,EVENTOUT,OSC32_OUT,92
PD0,D13,,FT_h,,,,DFSDM1_CKIN6,,,SAI3_SCK_A,,UART4_RX,FDCAN1_RX,,,FMC_D2/FMC_DA2,,,EVENTOUT,-,92
PD1,E12,,FT_h,,,,DFSDM1_DATIN6,,,SAI3_SD_A,,UART4_TX,FDCAN1_TX,,,FMC_D3/FMC_DA3,,,EVENTOUT,-,92
PD2,D12,,FT_h,TRACED2,,TIM3_ETR,,,,,,UART5_RX,,,,SDMMC1_CMD,DCMI_D11,,EVENTOUT,-,92
PD3,B12,,FT_h,,,,DFSDM1_CKOUT,,SPI2_SCK/I2S2_CK,,USART2_CTS/USART2_NSS,,,,,FMC_CLK,DCMI_D5,LCD_G7,EVENTOUT,-,92
PD4,A12,,FT_h,,,HRTIM_FLT3,,,,SAI3_FS_A,USART2_RTS/USART2_DE,,,,,FMC_NOE,,,EVENTOUT,-,92
PD5,A11,,FT_h,,,HRTIM_EEV3,,,,,USART2_TX,,,,,FMC_NWE,,,EVENTOUT,-,93
PD6,B11,,FT_h,,,SAI1_D1,DFSDM1_CKIN4,DFSDM1_DATIN1,SPI3_MOSI/I2S3_SDO,SAI1_SD_A,USART2_RX,SAI4_SD_A,,SAI4_D1,SDMMC2_CK,FMC_NWAIT,DCMI_D10,LCD_B2,EVENTOUT,-,93
PD7,C11,,FT_h,,,,DFSDM1_DATIN4,,SPI1_MOSI/I2S1_SDO,DFSDM1_CKIN1,USART2_CK,,SPDIFRX1_IN1,,SDMMC2_CMD,FMC_NE1,,,EVENTOUT,-,93
PD8,U16,,FT_h,,,,DFSDM1_CKIN3,,,SAI3_SCK_B,USART3_TX,,SPDIFRX1_IN2,,,FMC_D13/FMC_DA13,,,EVENTOUT,-,93
PD9,T17,,FT_h,,,,DFSDM1_DATIN3,,,SAI3_SD_B,USART3_RX,,,,,FMC_D14/FMC_DA14,,,EVENTOUT,-,93
PD10,T16,,FT_h,,,,DFSDM1_CKOUT,,,SAI3_FS_B,USART3_CK,,,,,FMC_D15/FMC_DA15,,LCD_B3,EVENTOUT,-,93
PD11,R15,,FT_h,,,,LPTIM2_IN2,I2C4_SMBA,,,USART3_CTS/USART3_NSS,,QUADSPI_BK1_IO0,SAI2_SD_A,,FMC_A16,,,EVENTOUT,-,93
PD12,R16,,FT_fh,,LPTIM1_IN1,TIM4_CH1,LPTIM2_IN1,I2C4_SCL,,,USART3_RTS/USART3_DE,,QUADSPI_BK1_IO1,SAI2_FS_A,,FMC_A17,,,EVENTOUT,-,93
PD13,R17,,FT_fh,,LPTIM1_OUT,TIM4_CH2,,I2C4_SDA,,,,,QUADSPI_BK1_IO3,SAI2_SCK_A,,FMC_A18,,,EVENTOUT,-,93
PD14,P16,,FT_h,,,TIM4_CH3,,,,SAI3_MCLK_B,,UART8_CTS,,,,FMC_D0/FMC_DA0,,,EVENTOUT,-,93
PD15,P15,,FT_h,,,TIM4_CH4,,,,SAI3_MCLK_A,,UART8_RTS/UART8_DE,,,,FMC_D1/FMC_DA1,,,EVENTOUT,-,93
PE0,C4,,FT_h,,LPTIM1_ETR,TIM4_ETR,HRTIM_SCIN,LPTIM2_ETR,,,,UART8_RX,,SAI2_MCLK_A,,FMC_NBL0,DCMI_D2,,EVENTOUT,-,94
PE1,B4,,FT_h,,LPTIM1_IN2,,HRTIM_SCOUT,,,,,UART8_TX,,,,FMC_NBL1,DCMI_D3,,EVENTOUT,-,94
PE2,C3,,FT_h,TRACECLK,,SAI1_CK1,,,SPI4_SCK,SAI1_MCLK_A,,SAI4_MCLK_A,QUADSPI_BK1_IO2,SAI4_CK1,ETH_MII_TXD3,FMC_A23,,,EVENTOUT,-,94
PE3,D3,,FT_h,TRACED0,,,,TIM15_BKIN,,SAI1_SD_B,,SAI4_SD_B,,,,FMC_A19,,,EVENTOUT,-,94
PE4,D2,,FT_h,TRACED1,,SAI1_D2,DFSDM1_DATIN3,TIM15_CH1N,SPI4_NSS,SAI1_FS_A,,SAI4_FS_A,,SAI4_D2,,FMC_A20,DCMI_D4,LCD_B0,EVENTOUT,-,94
PE5,D1,,FT_h,TRACED2,,SAI1_CK2,DFSDM1_CKIN3,TIM15_CH1,SPI4_MISO,SAI1_SCK_A,,SAI4_SCK_A,,SAI4_CK2,,FMC_A21,DCMI_D6,LCD_G0,EVENTOUT,-,94
PE6,E5,,FT_h,TRACED3,TIM1_BKIN2,SAI1_D1,,TIM15_CH2,SPI4_MOSI,SAI1_SD_A,,SAI4_SD_A,SAI4_D1,SAI2_MCLK_B,TIM1_BKIN2_COMP12,FMC_A22,DCMI_D7,LCD_G1,EVENTOUT,-,94
PE7,U9,,TT_h a,,TIM1_ETR,,DFSDM1_DATIN2,,,,UART7_RX,,,QUADSPI_BK2_IO0,,FMC_D4/FMC_DA4,,,EVENTOUT,"OPAMP2_VOU T, COMP2_INM",94
PE8,T9,,TT_h a,,TIM1_CH1N,,DFSDM1_CKIN2,,,,UART7_TX,,,QUADSPI_BK2_IO1,,FMC_D5/FMC_DA5,COMP2_OUT,,EVENTOUT,OPAMP2_VINM,94
PE9,P9,,TT_h a,,TIM1_CH1,,DFSDM1_CKOUT,,,,UART7_RTS/UART7_DE,,,QUADSPI_BK2_IO2,,FMC_D6/FMC_DA6,,,EVENTOUT,"OPAMP2_VINP, COMP2_INP",94
PE10,N9,,FT_h a,,TIM1_CH2N,,DFSDM1_DATIN4,,,,UART7_CTS,,,QUADSPI_BK2_IO3,,FMC_D7/FMC_DA7,,,EVENTOUT,COMP2_INM,94
PE11,P10,,FT_h a,,TIM1_CH2,,DFSDM1_CKIN4,,SPI4_NSS,,,,,SAI2_SD_B,,FMC_D8/FMC_DA8,,LCD_G3,EVENTOUT,COMP2_INP,94
PE12,R10,,FT_h,,TIM1_CH3N,,DFSDM1_DATIN5,,SPI4_SCK,,,,,SAI2_SCK_B,,FMC_D9/FMC_DA9,COMP1_OUT,LCD_B4,EVENTOUT,-,94
